step,tag,value
44064,train/consistency_loss_std,3.0282652561167466e-06
44064,train/continue_loss_mean,0.0
44064,train/continue_loss_std,0.0
44064,train/grad_norm_mean,0.0955973073554496
44064,train/grad_norm_std,0.04614422271087956
44064,train/policy_log_std_mean,-1.3751306543334985
44064,train/policy_log_std_std,0.5988362847371052
44064,train/policy_loss_mean,-0.6459036208570194
44064,train/policy_loss_std,0.016427051847142864
44064,train/reward_loss_mean,0.26053202723542723
44064,train/reward_loss_std,0.007165881472856527
44064,train/total_loss_mean,0.053241392805839116
44064,train/total_loss_std,0.0010451464779376717
44064,train/value_loss_mean,0.27019835156373706
44064,train/value_loss_std,0.008560762106828467
44064,train/value_scale_mean,99.4733700005772
44064,train/value_scale_std,1.435268517485612
44064,timing/collect_chunk_s,109.0715357568115
44064,timing/train_chunk_s,4.458914265036583
44064,dense_rhs/training_bucket_horizon,3.0
44064,system/heartbeat,1.0
45000,eval/return_mean,765.7723388671875
45000,eval/return_std,0.4507187008857727
45000,eval/return_max,766.426513671875
45000,eval/return_min,764.853515625
45000,timing/eval_s,6.241977760568261
45000,eval/selected_horizon,3.0
45000,eval/training_bucket_horizon,3.0
45000,system/heartbeat,1.0
46568,train/consistency_loss_mean,8.099721036761678e-06
46568,train/consistency_loss_std,3.0890077393131042e-06
46568,train/continue_loss_mean,0.0
46568,train/continue_loss_std,0.0
46568,train/grad_norm_mean,0.09870174885415041
46568,train/grad_norm_std,0.04598710122313018
46568,train/policy_log_std_mean,-1.3252473841079127
46568,train/policy_log_std_std,0.5899458642215512
46568,train/policy_loss_mean,-0.6279549076915169
46568,train/policy_loss_std,0.04552508031763342
46568,train/reward_loss_mean,0.263444607440656
46568,train/reward_loss_std,0.006990934269181972
46568,train/total_loss_mean,0.05219053872191487
46568,train/total_loss_std,0.0012300872425105357
46568,train/value_loss_mean,0.25684081832060035
46568,train/value_loss_std,0.01002023567508913
46568,train/value_scale_mean,104.93795235240802
46568,train/value_scale_std,9.841907590829967
46568,timing/collect_chunk_s,117.12335338257253
46568,timing/train_chunk_s,4.459044955670834
46568,dense_rhs/training_bucket_horizon,3.0
46568,system/heartbeat,1.0
47992,episode/return,756.4537963867188
47992,episode/length,500.0
47993,episode/return,755.60595703125
47993,episode/length,500.0
47994,episode/return,754.9124145507812
47994,episode/length,500.0
47995,episode/return,755.8328247070312
47995,episode/length,500.0
47996,episode/return,755.0943603515625
47996,episode/length,500.0
47997,episode/return,754.8318481445312
47997,episode/length,500.0
47998,episode/return,755.4993896484375
47998,episode/length,500.0
47999,episode/return,756.4041137695312
47999,episode/length,500.0
49072,train/consistency_loss_mean,9.923596444888228e-06
49072,train/consistency_loss_std,5.7052775067944015e-06
49072,train/continue_loss_mean,0.0
49072,train/continue_loss_std,0.0
49072,train/grad_norm_mean,0.11658348846502198
49072,train/grad_norm_std,0.07309742989924972
49072,train/policy_log_std_mean,-1.0842544560234386
